Chemical Shift (ppm),Intensity,Integral
1.235,0.14,13.89
1.236,0.13,13.89
1.237,0.13,13.88
1.238,0.13,13.88
1.239,0.14,13.88
1.24,0.14,13.88
1.241,0.15,13.88
1.242,0.15,13.88
1.243,0.17,13.88
1.244,0.18,13.88
1.245,0.2,13.88
1.246,0.22,13.88
1.247,0.25,13.88
1.248,0.29,13.88
1.249,0.34,13.88
1.25,0.43,13.88
1.251,0.55,13.87
1.252,0.7,13.87
1.253,0.9,13.87
1.254,1.04,13.87
1.255,1.08,13.86
1.256,1.04,13.86
1.257,0.94,13.86
1.258,0.83,13.85
1.259,0.71,13.85
1.26,0.6,13.85
1.261,0.51,13.85
1.262,0.44,13.85
1.263,0.38,13.85
1.264,0.33,13.84
1.265,0.3,13.84
1.266,0.26,13.84
1.267,0.23,13.84
1.268,0.21,13.84
1.269,0.19,13.84
1.27,0.18,13.84
1.271,0.17,13.84
1.272,0.16,13.84
1.273,0.15,13.84
1.274,0.14,13.84
1.275,0.13,13.84
1.276,0.13,13.84
1.277,0.12,13.84
1.278,0.12,13.84
1.279,0.12,13.84
1.28,0.12,13.84
1.281,0.11,13.84
1.282,0.11,13.84
1.283,0.1,13.84
1.284,0.1,13.83
1.285,0.1,13.83
1.286,0.1,13.83
1.287,0.1,13.83
1.288,0.1,13.83
1.289,0.1,13.83
1.29,0.1,13.83
1.291,0.09,13.83
1.292,0.09,13.83
1.293,0.09,13.83
1.294,0.09,13.83
1.295,0.09,13.83
1.296,0.09,13.83
1.297,0.09,13.83
1.298,0.09,13.83
1.299,0.09,13.83
1.3,0.09,13.83
1.301,0.09,13.83
1.302,0.09,13.83
1.303,0.09,13.83
1.304,0.08,13.83
1.305,0.08,13.83
1.306,0.07,13.83
1.307,0.07,13.83
1.308,0.07,13.83
1.309,0.07,13.83
1.31,0.08,13.83
1.311,0.09,13.83
1.312,0.12,13.83
1.313,0.13,13.83
1.314,0.13,13.83
1.315,0.1,13.83
1.316,0.08,13.83
1.317,0.06,13.83
1.318,0.05,13.83
1.319,0.04,13.83
1.32,0.04,13.83
1.321,0.04,13.82
1.322,0.04,13.82
1.323,0.04,13.82
1.324,0.04,13.82
1.325,0.04,13.82
1.326,0.05,13.82
1.327,0.06,13.82
1.328,0.08,13.82
1.329,0.1,13.82
1.33,0.11,13.82
1.331,0.09,13.82
1.332,0.07,13.82
1.333,0.05,13.82
1.334,0.04,13.82
1.335,0.03,13.82
1.336,0.02,13.82
1.337,0.02,13.82
1.338,0.02,13.82
1.339,0.02,13.82
1.34,0.02,13.82
1.35,0.02,13.82
1.351,0.02,13.82
1.352,0.02,13.82
1.353,0.03,13.82
1.354,0.02,13.82
1.355,0.02,13.82
1.356,0.02,13.82
1.357,0.02,13.82
1.367,0.02,13.82
1.38,0.02,13.82
1.381,0.02,13.82
1.382,0.02,13.82
1.383,0.02,13.82
1.384,0.02,13.82
1.385,0.03,13.82
1.386,0.03,13.82
1.387,0.02,13.82
1.388,0.02,13.82
1.394,0.02,13.82
1.402,0.02,13.82
1.403,0.02,13.82
1.404,0.03,13.82
1.405,0.03,13.82
1.406,0.02,13.82
1.407,0.02,13.82
1.408,0.03,13.82
1.409,0.03,13.82
1.41,0.03,13.82
1.411,0.03,13.82
1.412,0.03,13.82
1.413,0.04,13.82
1.414,0.06,13.82
1.415,0.09,13.82
1.416,0.13,13.82
1.417,0.14,13.82
1.418,0.11,13.82
1.419,0.09,13.82
1.42,0.06,13.82
1.421,0.04,13.82
1.422,0.03,13.82
1.423,0.03,13.82
1.424,0.02,13.82
1.425,0.02,13.82
1.429,0.02,13.82
1.43,0.02,13.82
1.431,0.03,13.82
1.432,0.03,13.82
1.433,0.03,13.82
1.434,0.03,13.82
1.435,0.03,13.82
1.436,0.02,13.82
1.437,0.02,13.82
1.515,-0.02,13.82
1.516,-0.02,13.82
1.517,-0.02,13.82
1.518,-0.02,13.82
1.519,-0.02,13.82
1.52,-0.02,13.82
1.521,-0.02,13.82
1.548,-0.02,13.82
1.549,-0.02,13.82
1.55,-0.02,13.82
1.551,-0.02,13.82
1.552,-0.02,13.82
1.553,-0.02,13.82
1.554,-0.02,13.82
1.555,-0.02,13.82
1.556,-0.02,13.82
1.557,-0.02,13.82
1.558,-0.02,13.82
1.559,-0.02,13.82
1.56,-0.02,13.82
1.561,-0.02,13.82
1.596,0.02,13.82
1.597,0.02,13.82
1.598,0.02,13.82
